3	17.0106
4	9.4673
8	2.2532
9	6.453
11	15.8912
15	28.9288
17	14.0217
19	4.5073
21	5.4161
27	2.6419
28	26.2281
29	13.125
30	20.0805
35	24.9359
36	3.462
37	24.0682
39	11.9473
42	2.2191
43	8.0843
44	3.4208
46	10.051
47	5.7555
48	22.0051
52	7.8559
53	2.4613
54	17.8954
58	1.9144
59	4.0323
60	3.9949
61	3.0565
62	12.8684
63	3.6812
69	3.9157
70	16.0342
71	5.0508
73	16.3597
77	6.9859
80	3.1256
81	5.139
82	8.0424
83	9.2955
84	7.3795
86	2.6562
87	8.0763
91	12.6633
92	0.6596
93	11.0267
95	1.9605
97	6.7134
98	4.9534
100	0.7277
101	2.7216
103	6.2204
107	3.0731
109	3.3491
110	6.8313
111	2.0745
113	10.5794
116	4.2816
118	0.734
119	4.2084
120	6.8678
121	3.5281
126	3.9108
127	4.0824
128	7.6441
129	8.1666
134	5.4756
135	67.9907
137	5.9684
139	7.608
141	2.2164
142	4.5217
143	10.5094
146	9.9336
147	17.7234
152	3.817
153	7.5637
154	16.3549
155	2.7217
160	9.1288
161	28.782
163	12.494
164	25.5063
166	8.0182
167	4.3253
168	5.4191
169	20.0952
170	17.13
171	11.1492
181	4.4416
182	3.9338
184	4.8239
191	10.7302
193	10.7443
194	35.9369
196	8.9109
200	3.4504
201	5.2656
206	4.0494
207	9.021
209	7.0657
211	14.4416
213	5.1277
215	31.1831
216	50.7231
219	2.9275
223	11.4482
225	4.9208
226	3.8009
227	7.7581
228	4.0152
230	8.3612
231	14.0336
233	3.9158
234	7.1462
236	2.1123
237	44.7569
238	7.0857
241	6.9597
242	7.1303
246	2.2167
247	20.5059
250	8.1955
251	3.9739
252	11.497
255	6.7929
256	10.5812
259	27.4107
262	6.8238
263	14.9811
269	23.1854
270	3.2237
272	13.9604
273	15.4593
274	4.98
276	11.3951
277	13.0555
283	2.5938
290	4.6414
291	6.5313
292	42.5331
293	1.6701
296	4.5932
298	24.8388
299	20.7432
300	3.6341
301	4.3652
304	9.6319
306	3.3947
309	35.7445
310	2.0855
311	5.9586
313	6.5472
314	13.3807
315	1.9965
316	4.5532
317	5.1603
318	8.3844
322	14.3208
325	3.6229
328	4.3846
329	11.2897
336	15.1833
337	4.0954
338	1.3516
340	15.5097
343	3.0482
346	6.6356
347	1.2109
349	3.8917
354	2.7938
355	6.4086
356	14.3685
357	19.8599
359	5.456
361	5.1871
363	4.3686
365	3.5818
366	4.2446
367	9.5374
370	14.5595
372	11.2434
374	35.4091
375	7.0239
376	15.6709
377	28.9984
378	5.7933
380	23.7397
385	9.4161
388	4.0341
389	2.9043
391	7.187
393	4.0523
394	2.7216
