,carid,pushPrice,isTraded,predPrice,isCut,cutNum,cutPrice1,cutPrice2,cutPrice3,dFirstCutTime,dSecondCutTime,dThirdCutTime,dCutTime,dFirstCutPrice,dSecondCutPrice,dThirdCutPrice,dCutPrice,dTruePrice,pTruePrice,pFristCutPrice,pSecondCutPrice,pThirdCutPrice,pCutPrice,pFirstAllTime,pSecondAllTime
0,68603,3.98,1,4.571188197757387,0,0,3.98,3.98,3.98,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.5911881977573867,-0.1293292186148499,0.0,0.0,0.0,0.0,1.0,1.0
1,12312,4.5,1,5.326469851173104,0,0,4.5,4.5,4.5,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,-0.8264698511731039,-0.15516277652281874,0.0,0.0,0.0,0.0,0.0,0.0
2,57655,23.9,1,24.260490182013154,1,1,23.0,23.0,23.0,23.0,0.0,0.0,26,0.8999999999999986,0.0,0.0,0.8999999999999986,-0.3604901820131552,-0.014859146674638272,0.03765690376569032,0.0,0.0,0.03765690376569032,0.8846153846153846,0.0
3,45688,20.5798,1,26.192541041369463,0,0,20.5798,20.5798,20.5798,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,-5.612741041369464,-0.21428776354705312,0.0,0.0,0.0,0.0,0.0,0.0
4,52081,12.28,1,12.397629461233517,1,1,11.9,11.9,11.9,21.0,0.0,0.0,53,0.379999999999999,0.0,0.0,0.379999999999999,-0.11762946123351803,-0.009488060729781993,0.030944625407166044,0.0,0.0,0.030944625407166044,0.39622641509433965,0.0
5,6729,18.5,1,16.249944169815574,1,3,17.68,17.8799,16.8799,27.0,1.0,16.0,49,0.8200000000000003,-0.19989999999999952,1.0,1.6201000000000008,2.250055830184426,0.138465449891448,0.044324324324324336,-0.011306561085972824,0.05592872443358184,0.08757297297297302,0.5510204081632653,0.02040816326530612
6,766,9.8,1,9.78256670945344,0,0,9.8,9.8,9.8,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,0.01743329054656151,0.0017820773488531132,0.0,0.0,0.0,0.0,0.0,0.0
7,10453,10.8,1,11.366560489702511,0,0,10.8,10.8,10.8,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,-0.5665604897025105,-0.04984449695365486,0.0,0.0,0.0,0.0,0.0,0.0
8,65800,12.28,1,11.435832261502135,0,0,12.28,12.28,12.28,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.8441677384978643,0.07381777899451107,0.0,0.0,0.0,0.0,0.0,0.0
9,36776,16.8,1,17.419522777251984,0,0,16.8,16.8,16.8,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,-0.6195227772519836,-0.03556485359409578,0.0,0.0,0.0,0.0,0.0,0.0
10,30211,19.38,1,19.13074043950238,1,2,18.98,18.58,18.58,4.0,4.0,0.0,14,0.3999999999999986,0.40000000000000213,0.0,0.8000000000000007,0.24925956049762021,0.013029268850615583,0.020639834881320877,0.02107481559536365,0.0,0.04127966976264194,0.2857142857142857,0.2857142857142857
11,624,11.42,1,12.150701039317529,0,0,11.42,11.42,11.42,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,-0.7307010393175286,-0.06013653343565188,0.0,0.0,0.0,0.0,0.0,0.0
12,12588,9.7,1,9.590766053778731,0,0,9.7,9.7,9.7,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.10923394622126814,0.011389491267825297,0.0,0.0,0.0,0.0,0.0,0.0
13,11435,8.68,1,8.002320725356295,1,1,8.6,8.6,8.6,15.0,0.0,0.0,117,0.08000000000000007,0.0,0.0,0.08000000000000007,0.6776792746437046,0.08468534290264049,0.00921658986175116,0.0,0.0,0.00921658986175116,0.1282051282051282,0.0
14,295,6.0,1,6.296826111904878,0,0,6.0,6.0,6.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,-0.2968261119048776,-0.047139004099810464,0.0,0.0,0.0,0.0,0.0,0.0
15,33761,11.5,1,10.691652510522164,1,2,11.3,11.0,11.0,5.0,5.0,0.0,15,0.1999999999999993,0.3000000000000007,0.0,0.5,0.8083474894778355,0.07560547714044225,0.017391304347826025,0.026548672566371743,0.0,0.043478260869565216,0.3333333333333333,0.3333333333333333
16,622,5.8,1,8.148109740920615,0,0,5.8,5.8,5.8,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,-2.3481097409206155,-0.2881784629296505,0.0,0.0,0.0,0.0,0.0,0.0
17,35492,24.8,1,25.723043878135215,0,0,24.8,24.8,24.8,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,-0.9230438781352142,-0.035883928920239824,0.0,0.0,0.0,0.0,0.0,0.0
18,69974,4.5,1,4.0707334098323,1,1,3.98,3.98,3.98,4.0,0.0,0.0,8,0.52,0.0,0.0,0.52,0.42926659016769975,0.1054519043499299,0.11555555555555556,0.0,0.0,0.11555555555555556,0.5,0.0
19,54141,12.0,1,13.90180427442448,0,0,12.0,12.0,12.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,-1.9018042744244799,-0.1368026938721386,0.0,0.0,0.0,0.0,0.0,0.0
20,4343,4.6,1,5.998068109533826,0,0,4.6,4.6,4.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.3980681095338268,-0.23308640115500215,0.0,0.0,0.0,0.0,1.0,1.0
21,71250,17.5,1,22.672965502423295,0,0,17.5,17.5,17.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-5.1729655024232954,-0.2281556641485829,0.0,0.0,0.0,0.0,1.0,1.0
22,18269,8.68,1,8.231382885738864,0,0,8.68,8.68,8.68,0.0,0.0,0.0,41,0.0,0.0,0.0,0.0,0.44861711426113615,0.054500819666447514,0.0,0.0,0.0,0.0,0.0,0.0
23,14920,39.6,1,38.633037774008415,1,1,39.3,39.3,39.3,10.0,0.0,0.0,12,0.30000000000000426,0.0,0.0,0.30000000000000426,0.9669622259915869,0.025029412174316278,0.0075757575757576835,0.0,0.0,0.0075757575757576835,0.8333333333333334,0.0
